,0
212,100003559880150
213,100003549974754
214,100003538976666
215,100003533606966
216,100003504328142
217,100003501503601
218,100003491418019
219,100003469853541
220,100003469015934
221,100003463812611
222,100003448486908
223,100003368164661
224,100003348702492
225,100003264866880
226,100003256645037
227,100003256355906
228,100003212112947
229,100003192515555
230,100003161538982
231,100002995820216
232,100002965067116
233,100002960372479
234,100002943107443
235,100002932431640
236,100002929901659
237,100002929180799
238,100002898810740
239,100002881745190
240,100002864780107
241,100002821864261
242,100002784690121
243,100002770626252
244,100002714776489
245,100002702628661
246,100002680352716
247,100002643070216
248,100002631932273
249,100002625181095
250,100002620329993
251,100002572565414
252,100002567253443
253,100002531193402
254,100002520923025
255,100002514522904
256,100002513274180
257,100002476124366
258,100002471841771
259,100002453646233
260,100002422732467
261,100002405378342
262,100002403731984
263,100002396735794
264,100002370907848
265,100002354185149
266,100002323151795
267,100002314460774
268,100002295695707
269,100002294828353
270,100002279101420
271,100002226774939
272,100002121534065
273,100002057544149
274,100002049211612
275,100002040367524
276,100002026625269
277,100002017770034
278,100002004763756
279,100002002896070
280,100002001763305
281,100002001477684
282,100001986610389
283,100001950550046
284,100001884285265
285,100001880093303
286,100001848957641
287,100001839884591
288,100001790302459
289,100001771204845
290,100001767075270
291,100001726875604
292,100001723764309
293,100001710408959
294,100001670612878
295,100001664341976
296,100001641608436
297,100001598613903
298,100001596052518
299,100003799504964
300,100001967894875
301,100001591423000
302,100001564536697
303,100001557818199
304,100001521766492
305,100001508802439
306,100001389311161
307,100001387743207
308,100001387402256
309,100001354436615
310,100001348188647
311,100001343101488
312,100001341718052
313,100001335797836
314,100001320549098
315,100001280222996
316,100001266350468
317,100001247838651
318,100001233894410
319,100001185391925
320,100001176795526
321,100001169924940
322,100001168759501
323,100001144219356
324,100001138178025
325,100001130011224
326,100001100540941
327,100001100146481
328,100001069695997
329,100001017910494
330,100000938192017
331,100000927614154
332,100000927489169
333,100000913206713
334,100000882264405
335,100000879936294
336,100000871983282
337,100000848444429
338,100000844671122
339,100000843851380
340,100000794765545
341,100000778735532
342,100000760602736
343,100000725532277
344,100000721449794
345,100000700877698
346,100000627383628
347,100000595182559
348,100000489619479
349,100000485903970
350,100000449317838
